dataset,package_cell,provider,exact_model_id,prompt_condition,prompt_template_artifact,prompt_template_sha256,route_set_artifact,route_set_sha256,schema_artifact,schema_sha256,verifier_artifact,verifier_sha256,execution_config_artifact,execution_config_sha256,policy_artifact,policy_sha256,deterministic_renderer_source,deterministic_renderer_sha256,package_state_id
BANKING77,OpenAI-V,openai,gpt-4.1-mini-2025-04-14,VANILLA,prompts/G0_template.txt,300d575dfb9a2d0fd4ba9a22b3b8b6eb4026ffb1f218b1a79ed850e5d0a470dc,metadata/route_set_BANKING77.json,9d933a5ace07c7bcc24568dbe73db752cf0dc1bb692395475b1c7f72a76d4e03,metadata/schema_BANKING77_resolved.json,1705ba1bb7e550802fb4fca8f78c3ebfa1ff1cbd319ab53a3e9daaa2fd00624a,metadata/verifier_identity.json,47b37154a8288f21e21dedaa8329be99df30dbfc3955bc535df8ef023a8e87c6,metadata/execution_identity.json,a759e85204294fd907c34556b74a86d1c910a9c0df5e0c6e8b6c6af315501d30,policy/policy_stability.csv,ed49a011ad03276ae91d0805bb32b601674fc195d3c7321bb0dc09b5d6b70f8c,renderers/run_minimal_pilot.py,0027aebe290e3d072fd2a6467e7852b9e6b9229f1877931f5b8fdc5181902619,BANKING77:OpenAI-V:9d933a5ace07
BANKING77,OpenAI-G,openai,gpt-4.1-mini-2025-04-14,LABEL_DEFINITION_GROUNDED,prompts/G1_exact.txt,6966c9ee153e7132a71ef1241db9e81bb66b4c9c77f828278b8bf50e23466ecc,metadata/route_set_BANKING77.json,9d933a5ace07c7bcc24568dbe73db752cf0dc1bb692395475b1c7f72a76d4e03,metadata/schema_BANKING77_resolved.json,1705ba1bb7e550802fb4fca8f78c3ebfa1ff1cbd319ab53a3e9daaa2fd00624a,metadata/verifier_identity.json,47b37154a8288f21e21dedaa8329be99df30dbfc3955bc535df8ef023a8e87c6,metadata/execution_identity.json,a759e85204294fd907c34556b74a86d1c910a9c0df5e0c6e8b6c6af315501d30,policy/policy_stability.csv,ed49a011ad03276ae91d0805bb32b601674fc195d3c7321bb0dc09b5d6b70f8c,renderers/run_minimal_pilot.py,0027aebe290e3d072fd2a6467e7852b9e6b9229f1877931f5b8fdc5181902619,BANKING77:OpenAI-G:9d933a5ace07
BANKING77,Anthropic-V,anthropic,claude-haiku-4-5-20251001,VANILLA,prompts/G0_template.txt,300d575dfb9a2d0fd4ba9a22b3b8b6eb4026ffb1f218b1a79ed850e5d0a470dc,metadata/route_set_BANKING77.json,9d933a5ace07c7bcc24568dbe73db752cf0dc1bb692395475b1c7f72a76d4e03,metadata/schema_BANKING77_resolved.json,1705ba1bb7e550802fb4fca8f78c3ebfa1ff1cbd319ab53a3e9daaa2fd00624a,metadata/verifier_identity.json,47b37154a8288f21e21dedaa8329be99df30dbfc3955bc535df8ef023a8e87c6,metadata/execution_identity.json,a759e85204294fd907c34556b74a86d1c910a9c0df5e0c6e8b6c6af315501d30,policy/policy_stability.csv,ed49a011ad03276ae91d0805bb32b601674fc195d3c7321bb0dc09b5d6b70f8c,renderers/run_minimal_pilot.py,0027aebe290e3d072fd2a6467e7852b9e6b9229f1877931f5b8fdc5181902619,BANKING77:Anthropic-V:9d933a5ace07
BANKING77,Anthropic-G,anthropic,claude-haiku-4-5-20251001,LABEL_DEFINITION_GROUNDED,prompts/G2_exact.txt,3f5f9fa1bd5c759e577b46caa951e3792ec50a61cff4aee2b376831b960c9187,metadata/route_set_BANKING77.json,9d933a5ace07c7bcc24568dbe73db752cf0dc1bb692395475b1c7f72a76d4e03,metadata/schema_BANKING77_resolved.json,1705ba1bb7e550802fb4fca8f78c3ebfa1ff1cbd319ab53a3e9daaa2fd00624a,metadata/verifier_identity.json,47b37154a8288f21e21dedaa8329be99df30dbfc3955bc535df8ef023a8e87c6,metadata/execution_identity.json,a759e85204294fd907c34556b74a86d1c910a9c0df5e0c6e8b6c6af315501d30,policy/policy_stability.csv,ed49a011ad03276ae91d0805bb32b601674fc195d3c7321bb0dc09b5d6b70f8c,renderers/run_minimal_pilot.py,0027aebe290e3d072fd2a6467e7852b9e6b9229f1877931f5b8fdc5181902619,BANKING77:Anthropic-G:9d933a5ace07
CLINC150,OpenAI-V,openai,gpt-4.1-mini-2025-04-14,VANILLA,prompts/G0_template.txt,300d575dfb9a2d0fd4ba9a22b3b8b6eb4026ffb1f218b1a79ed850e5d0a470dc,metadata/route_set_CLINC150.json,f0b92fb4fd9eeee59872463a59952558bb573986d887622493510acce80161c0,metadata/schema_CLINC150_resolved.json,5f4824abec0f450b9eacc0aa11fecd88e0f09d85eb74da92766a82ccea4c1e07,metadata/verifier_identity.json,47b37154a8288f21e21dedaa8329be99df30dbfc3955bc535df8ef023a8e87c6,metadata/execution_identity.json,a759e85204294fd907c34556b74a86d1c910a9c0df5e0c6e8b6c6af315501d30,policy/policy_stability.csv,ed49a011ad03276ae91d0805bb32b601674fc195d3c7321bb0dc09b5d6b70f8c,renderers/run_minimal_pilot.py,0027aebe290e3d072fd2a6467e7852b9e6b9229f1877931f5b8fdc5181902619,CLINC150:OpenAI-V:f0b92fb4fd9e
CLINC150,OpenAI-G,openai,gpt-4.1-mini-2025-04-14,LABEL_DEFINITION_GROUNDED,prompts/G1_exact.txt,6966c9ee153e7132a71ef1241db9e81bb66b4c9c77f828278b8bf50e23466ecc,metadata/route_set_CLINC150.json,f0b92fb4fd9eeee59872463a59952558bb573986d887622493510acce80161c0,metadata/schema_CLINC150_resolved.json,5f4824abec0f450b9eacc0aa11fecd88e0f09d85eb74da92766a82ccea4c1e07,metadata/verifier_identity.json,47b37154a8288f21e21dedaa8329be99df30dbfc3955bc535df8ef023a8e87c6,metadata/execution_identity.json,a759e85204294fd907c34556b74a86d1c910a9c0df5e0c6e8b6c6af315501d30,policy/policy_stability.csv,ed49a011ad03276ae91d0805bb32b601674fc195d3c7321bb0dc09b5d6b70f8c,renderers/run_minimal_pilot.py,0027aebe290e3d072fd2a6467e7852b9e6b9229f1877931f5b8fdc5181902619,CLINC150:OpenAI-G:f0b92fb4fd9e
CLINC150,Anthropic-V,anthropic,claude-haiku-4-5-20251001,VANILLA,prompts/G0_template.txt,300d575dfb9a2d0fd4ba9a22b3b8b6eb4026ffb1f218b1a79ed850e5d0a470dc,metadata/route_set_CLINC150.json,f0b92fb4fd9eeee59872463a59952558bb573986d887622493510acce80161c0,metadata/schema_CLINC150_resolved.json,5f4824abec0f450b9eacc0aa11fecd88e0f09d85eb74da92766a82ccea4c1e07,metadata/verifier_identity.json,47b37154a8288f21e21dedaa8329be99df30dbfc3955bc535df8ef023a8e87c6,metadata/execution_identity.json,a759e85204294fd907c34556b74a86d1c910a9c0df5e0c6e8b6c6af315501d30,policy/policy_stability.csv,ed49a011ad03276ae91d0805bb32b601674fc195d3c7321bb0dc09b5d6b70f8c,renderers/run_minimal_pilot.py,0027aebe290e3d072fd2a6467e7852b9e6b9229f1877931f5b8fdc5181902619,CLINC150:Anthropic-V:f0b92fb4fd9e
CLINC150,Anthropic-G,anthropic,claude-haiku-4-5-20251001,LABEL_DEFINITION_GROUNDED,prompts/G2_exact.txt,3f5f9fa1bd5c759e577b46caa951e3792ec50a61cff4aee2b376831b960c9187,metadata/route_set_CLINC150.json,f0b92fb4fd9eeee59872463a59952558bb573986d887622493510acce80161c0,metadata/schema_CLINC150_resolved.json,5f4824abec0f450b9eacc0aa11fecd88e0f09d85eb74da92766a82ccea4c1e07,metadata/verifier_identity.json,47b37154a8288f21e21dedaa8329be99df30dbfc3955bc535df8ef023a8e87c6,metadata/execution_identity.json,a759e85204294fd907c34556b74a86d1c910a9c0df5e0c6e8b6c6af315501d30,policy/policy_stability.csv,ed49a011ad03276ae91d0805bb32b601674fc195d3c7321bb0dc09b5d6b70f8c,renderers/run_minimal_pilot.py,0027aebe290e3d072fd2a6467e7852b9e6b9229f1877931f5b8fdc5181902619,CLINC150:Anthropic-G:f0b92fb4fd9e
